ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAAF3D0ED4AFF7B04A2,2020-04-13 00:00:00,001,颗粒物,0.74,20,,0,0,2020-04-14T09:21:39.097,2020-04-14T09:21:49.863,20200413
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAAF3D0ED4AFF7B04A2,2020-04-13 00:00:00,002,二氧化硫,1.48,80,,0,0,2020-04-14T09:21:39.097,2020-04-14T09:21:49.863,20200413
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAAF3D0ED4AFF7B04A2,2020-04-13 00:00:00,003,氮氧化物,46.93,250,,0,0,2020-04-14T09:21:39.097,2020-04-14T09:21:49.863,20200413
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAAF3D0ED4AFF7B04A2,2020-04-13 00:00:00,004,一氧化碳,1.51,80,,0,0,2020-04-14T09:21:39.097,2020-04-14T09:21:49.863,20200413
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAAF3D0ED4AFF7B04A2,2020-04-13 00:00:00,008,氯化氢,0.39,50,,0,0,2020-04-14T09:21:39.097,2020-04-14T09:21:49.863,20200413
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA6856F37C3B7E4CC4,2020-04-13 00:00:00,001,颗粒物,0.74,20,,0,0,2020-04-14T09:21:39.097,2020-04-14T09:21:49.863,20200413
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA6856F37C3B7E4CC4,2020-04-13 00:00:00,002,二氧化硫,0.1,80,,0,0,2020-04-14T09:21:39.097,2020-04-14T09:21:49.863,20200413
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA6856F37C3B7E4CC4,2020-04-13 00:00:00,003,氮氧化物,24.95,250,,0,0,2020-04-14T09:21:39.097,2020-04-14T09:21:49.863,20200413
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA6856F37C3B7E4CC4,2020-04-13 00:00:00,004,一氧化碳,5.6,80,,0,0,2020-04-14T09:21:39.097,2020-04-14T09:21:49.863,20200413
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA6856F37C3B7E4CC4,2020-04-13 00:00:00,008,氯化氢,0.93,50,,0,0,2020-04-14T09:21:39.097,2020-04-14T09:21:49.863,20200413
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA584057B6AE4A7B0D,2020-04-13 00:00:00,001,颗粒物,0.55,20,,0,0,2020-04-14T09:21:39.097,2020-04-14T09:21:49.863,20200413
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA584057B6AE4A7B0D,2020-04-13 00:00:00,002,二氧化硫,3.69,80,,0,0,2020-04-14T09:21:39.097,2020-04-14T09:21:49.863,20200413
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA584057B6AE4A7B0D,2020-04-13 00:00:00,003,氮氧化物,44.41,250,,0,0,2020-04-14T09:21:39.097,2020-04-14T09:21:49.863,20200413
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA584057B6AE4A7B0D,2020-04-13 00:00:00,004,一氧化碳,1.96,80,,0,0,2020-04-14T09:21:39.097,2020-04-14T09:21:49.863,20200413
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA584057B6AE4A7B0D,2020-04-13 00:00:00,008,氯化氢,0.64,50,,0,0,2020-04-14T09:21:39.097,2020-04-14T09:21:49.863,20200413
